,time_block,suicides,block_size
North Carolina,2015_2019,31,5
Oklahoma,2015_2019,30,5
South Carolina,2015_2019,39,5
Tennessee,2015_2019,35,5
Texas,2015_2019,170,5
Virginia,2015_2019,23,5
West Virginia,2015_2019,6,5
Alaska,2015_2019,14,5
Arizona,2015_2019,35,5
California,2015_2019,148,5
Colorado,2015_2019,26,5
Hawaii,2015_2019,6,5
Idaho,2015_2019,13,5
Montana,2015_2019,5,5
Nevada,2015_2019,12,5
New Mexico,2015_2019,8,5
Oregon,2015_2019,7,5
Utah,2015_2019,10,5
Washington,2015_2019,17,5
Wyoming,2015_2019,4,5
